date,price,type,year,region
2017-11-19,1.37,conventional,2017,Northeast
2015-08-16,1.72,organic,2015,GreatLakes
2016-05-01,0.85,conventional,2016,LasVegas
2017-02-05,1.83,organic,2017,HarrisburgScranton
2016-10-30,1.8,organic,2016,Columbus
2016-11-13,1.37,conventional,2016,SanDiego
2016-09-18,1.47,organic,2016,LosAngeles
2015-07-12,1.48,organic,2015,Louisville
2016-10-30,2.74,organic,2016,SanDiego
2016-05-22,1.26,organic,2016,GreatLakes
2017-07-23,1.42,organic,2017,Albany
2016-05-22,1.02,conventional,2016,NorthernNewEngland
2016-09-11,0.96,conventional,2016,West
2016-11-06,1.14,conventional,2016,DallasFtWorth
2016-06-19,1.14,organic,2016,SouthCentral
2017-02-26,1.18,organic,2017,StLouis
2017-04-30,1.25,conventional,2017,Tampa
2017-08-13,1.05,conventional,2017,Nashville
2016-04-17,0.69,conventional,2016,Houston
2017-03-12,1.86,organic,2017,Charlotte
2015-11-29,1.26,conventional,2015,Pittsburgh
2017-04-09,1.06,organic,2017,Indianapolis
2016-04-17,1.12,conventional,2016,Northeast
2015-02-22,1.53,organic,2015,BuffaloRochester
2016-04-10,1.1,conventional,2016,Charlotte
2015-04-12,1.76,organic,2015,Albany
2017-09-10,1.76,conventional,2017,Tampa
2017-04-09,1.54,conventional,2017,Albany
2015-10-11,1.61,organic,2015,NorthernNewEngland
2017-09-10,2.12,organic,2017,Orlando
2017-11-12,1.89,organic,2017,Jacksonville
2017-01-29,1.29,conventional,2017,GrandRapids
2016-07-31,1.68,conventional,2016,Chicago
2015-02-15,1.81,organic,2015,Albany
2016-11-13,1.17,organic,2016,Roanoke
2016-07-17,1.31,conventional,2016,Syracuse
2015-05-17,1.22,conventional,2015,Jacksonville
2016-02-28,1.54,organic,2016,Pittsburgh
2017-05-07,2.31,organic,2017,Charlotte
2017-02-12,1.05,conventional,2017,Chicago
2017-12-03,1.66,organic,2017,Midsouth
2017-05-07,1.12,conventional,2017,RichmondNorfolk
2016-06-12,1.46,organic,2016,Midsouth
2017-02-19,1.49,organic,2017,West
2015-10-04,1.04,conventional,2015,SouthCarolina
2017-12-17,1.29,conventional,2017,Boise
2015-04-26,1.92,organic,2015,WestTexNewMexico
2016-02-14,1.12,conventional,2016,MiamiFtLauderdale
2017-01-15,1.49,organic,2017,PhoenixTucson
2017-12-31,1.29,organic,2017,GreatLakes
2017-11-19,0.97,conventional,2017,Columbus
2015-05-24,1.14,conventional,2015,Boston
2017-06-25,1.27,conventional,2017,Midsouth
2016-07-10,0.93,conventional,2016,LosAngeles
2018-03-25,1.01,conventional,2018,LasVegas
2016-07-31,1.1,conventional,2016,Nashville
2017-06-25,1.77,organic,2017,TotalUS
2016-01-24,1.38,organic,2016,Houston
2016-01-03,0.92,conventional,2016,RaleighGreensboro
2015-07-12,1.06,conventional,2015,Roanoke
2016-07-17,0.88,conventional,2016,StLouis
2016-12-25,1.09,conventional,2016,Plains
2015-12-06,1.6,organic,2015,GreatLakes
2016-10-09,2.26,organic,2016,Spokane
2015-11-08,1.72,organic,2015,PhoenixTucson
2017-07-02,1.82,organic,2017,SouthCarolina
2016-09-11,0.82,conventional,2016,SouthCentral
2017-03-26,1.52,organic,2017,Tampa
2016-11-13,1.55,organic,2016,MiamiFtLauderdale
2016-07-24,1.63,organic,2016,Plains
2015-04-19,1.13,conventional,2015,Seattle
2016-02-28,1.48,organic,2016,GreatLakes
2015-03-29,1.41,organic,2015,Pittsburgh
2017-07-02,1.58,organic,2017,Pittsburgh
2015-08-16,1.82,organic,2015,SanDiego
2018-02-11,1.16,conventional,2018,Spokane
2017-03-12,1.32,conventional,2017,Denver
2017-10-29,1.67,organic,2017,RichmondNorfolk
2017-11-12,1.49,organic,2017,Indianapolis
2017-12-03,1.23,organic,2017,Syracuse
2017-05-28,0.93,conventional,2017,DallasFtWorth
2015-12-06,1.35,organic,2015,NewOrleansMobile
2016-09-11,1.29,conventional,2016,Indianapolis
2016-10-09,1.05,conventional,2016,WestTexNewMexico
2015-03-15,1.87,organic,2015,Charlotte
2017-06-18,1.67,conventional,2017,BaltimoreWashington
2017-08-20,1.88,conventional,2017,Chicago
2015-07-05,1.37,organic,2015,Roanoke
2016-01-24,1.62,organic,2016,Chicago
2017-07-30,1.41,conventional,2017,Sacramento
2016-03-06,0.51,conventional,2016,PhoenixTucson
2017-06-18,1.19,organic,2017,Louisville
2015-01-11,1.84,organic,2015,Atlanta
2015-11-15,1.43,organic,2015,Pittsburgh
2017-03-26,0.65,organic,2017,Detroit
2016-03-27,1.29,conventional,2016,Syracuse
2015-04-26,1.56,organic,2015,NewOrleansMobile
2016-11-13,1.1,conventional,2016,LasVegas
2016-02-14,1.96,organic,2016,Syracuse
2016-04-17,0.82,conventional,2016,Spokane
2017-10-22,1.79,organic,2017,PhoenixTucson
2015-08-30,1.32,conventional,2015,StLouis
2018-03-18,1.73,organic,2018,West
2018-01-14,1.15,conventional,2018,Boise
2015-08-30,1.98,organic,2015,California
2017-02-19,1.17,organic,2017,DallasFtWorth
2017-12-10,1.25,conventional,2017,BuffaloRochester
2017-10-15,1.51,organic,2017,HarrisburgScranton
2017-05-21,1.53,organic,2017,Seattle
2016-04-17,2.33,organic,2016,SanFrancisco
2015-03-22,1.1,conventional,2015,Spokane
2015-04-12,1.66,organic,2015,Columbus
2017-01-15,2.09,organic,2017,NewYork
2018-02-25,1.35,organic,2018,NewOrleansMobile
2015-03-01,0.82,conventional,2015,DallasFtWorth
2016-05-08,0.96,conventional,2016,Detroit
2018-01-28,1.8,organic,2018,West
2017-09-03,1.72,conventional,2017,CincinnatiDayton
2017-10-15,2.08,organic,2017,West
2015-08-30,1.66,organic,2015,Indianapolis
2016-05-29,1.09,conventional,2016,Midsouth
2016-07-31,1.58,organic,2016,SouthCarolina
2015-12-13,1.39,organic,2015,California
2017-07-16,1.28,conventional,2017,SouthCarolina
2015-03-22,1.13,conventional,2015,Seattle
2016-01-31,1.13,conventional,2016,GrandRapids
2015-01-25,1.1,conventional,2015,Atlanta
2017-07-30,1.47,conventional,2017,Philadelphia
2018-03-11,1.22,conventional,2018,HarrisburgScranton
2017-05-07,1.8,organic,2017,SouthCarolina
2017-02-19,1.24,organic,2017,WestTexNewMexico
2016-01-24,0.89,conventional,2016,CincinnatiDayton
2015-02-08,1.95,organic,2015,NewYork
2015-10-18,1.05,conventional,2015,Midsouth
2015-08-09,1.0,conventional,2015,Columbus
2015-11-29,1.25,conventional,2015,NorthernNewEngland
2016-11-20,1.63,organic,2016,Plains
2016-01-24,1.46,organic,2016,Boston
2017-10-22,1.61,organic,2017,Detroit
2015-10-18,1.84,organic,2015,SouthCarolina
2018-03-04,1.25,conventional,2018,BaltimoreWashington
2015-08-16,1.65,organic,2015,Roanoke
2016-03-20,1.11,conventional,2016,Northeast
2016-03-20,0.95,organic,2016,Detroit
2016-04-24,1.11,organic,2016,SouthCentral
2018-03-04,1.01,organic,2018,GrandRapids
2017-04-16,0.98,conventional,2017,Portland
2015-08-09,1.82,organic,2015,PhoenixTucson
2017-05-07,1.68,organic,2017,RichmondNorfolk
2015-08-09,1.21,conventional,2015,Charlotte
2015-06-28,1.47,organic,2015,LosAngeles
2015-09-20,1.19,conventional,2015,Chicago
2016-05-29,0.98,conventional,2016,California
2017-09-03,2.15,organic,2017,Sacramento
2017-06-25,0.85,conventional,2017,WestTexNewMexico
2018-02-25,1.13,conventional,2018,RichmondNorfolk
2017-10-15,1.81,organic,2017,CincinnatiDayton
2015-06-14,1.34,organic,2015,CincinnatiDayton
2015-09-20,1.91,organic,2015,StLouis
2017-12-10,1.54,organic,2017,TotalUS
2015-07-12,1.05,conventional,2015,Boise
2018-01-28,1.08,conventional,2018,Nashville
2017-10-22,1.82,organic,2017,TotalUS
2016-10-23,1.12,organic,2016,StLouis
2016-05-01,0.73,conventional,2016,WestTexNewMexico
2015-12-27,0.99,conventional,2015,Jacksonville
2015-10-25,1.95,organic,2015,Boise
2015-02-22,1.75,organic,2015,Boise
2017-04-16,3.17,organic,2017,Tampa
2017-07-30,1.41,organic,2017,Houston
2018-01-07,1.45,organic,2018,DallasFtWorth
2016-03-06,1.79,organic,2016,RaleighGreensboro
2016-10-09,1.44,conventional,2016,Orlando
2015-04-12,1.15,conventional,2015,BaltimoreWashington
2017-08-13,1.37,conventional,2017,Atlanta
2015-05-17,1.44,conventional,2015,Philadelphia
2017-01-22,1.34,conventional,2017,BuffaloRochester
2017-03-19,1.91,organic,2017,Spokane
2016-07-31,1.21,conventional,2016,Columbus
2015-04-19,0.51,conventional,2015,PhoenixTucson
2016-01-31,1.38,organic,2016,Indianapolis
2015-04-19,1.39,organic,2015,SouthCentral
2017-02-12,0.7,conventional,2017,SanDiego
2016-08-07,1.15,conventional,2016,TotalUS
2017-01-29,1.63,organic,2017,RaleighGreensboro
2017-12-17,1.63,organic,2017,StLouis
2015-04-26,1.65,organic,2015,PhoenixTucson
2017-11-26,1.37,conventional,2017,Northeast
2018-01-21,1.12,conventional,2018,RichmondNorfolk
2017-02-05,1.14,organic,2017,GreatLakes
2016-08-21,1.65,organic,2016,Southeast
2015-09-06,1.12,conventional,2015,Pittsburgh
2015-03-22,1.23,conventional,2015,Pittsburgh
2015-01-11,1.28,organic,2015,Denver
2016-10-09,1.98,organic,2016,California
2016-09-18,1.58,organic,2016,Southeast
2017-10-08,1.76,conventional,2017,Tampa
2015-05-24,1.61,organic,2015,Detroit
2016-03-20,1.53,organic,2016,Nashville
2015-03-22,0.71,conventional,2015,PhoenixTucson
2017-07-16,1.83,organic,2017,Denver
2016-02-21,0.82,conventional,2016,SouthCentral
2016-03-06,1.7,organic,2016,Boston
2017-04-09,1.5,conventional,2017,Jacksonville
2015-10-04,1.23,conventional,2015,StLouis
2017-11-12,0.97,conventional,2017,Columbus
2015-08-16,1.83,organic,2015,Atlanta
2016-08-07,1.18,conventional,2016,Southeast
2017-09-10,1.47,conventional,2017,StLouis
2016-11-20,1.22,organic,2016,SouthCentral
2015-08-02,1.63,organic,2015,LosAngeles
2015-04-12,1.53,organic,2015,TotalUS
2017-04-16,2.14,organic,2017,BuffaloRochester
2016-08-21,1.92,organic,2016,SanDiego
2015-07-26,1.43,conventional,2015,Pittsburgh
2017-07-09,1.25,conventional,2017,Pittsburgh
2015-10-04,1.5,organic,2015,MiamiFtLauderdale
2017-06-04,1.44,organic,2017,Atlanta
2016-09-11,1.42,organic,2016,NewOrleansMobile
2015-05-24,1.62,organic,2015,Sacramento
2018-02-18,1.56,organic,2018,Atlanta
2017-07-30,1.86,organic,2017,Sacramento
2016-06-12,0.95,conventional,2016,NewOrleansMobile
2017-10-29,1.28,conventional,2017,Atlanta
2016-09-18,1.22,conventional,2016,California
2016-06-12,1.24,conventional,2016,HarrisburgScranton
2018-02-18,1.35,conventional,2018,NorthernNewEngland
2016-10-02,1.36,conventional,2016,RaleighGreensboro
2017-07-16,1.39,conventional,2017,Albany
2016-10-23,1.52,conventional,2016,Orlando
2015-07-26,0.79,conventional,2015,Houston
2015-11-22,0.98,conventional,2015,SanDiego
2015-05-24,1.03,conventional,2015,RichmondNorfolk
2015-01-04,1.1,conventional,2015,Midsouth
2015-06-14,0.98,conventional,2015,RichmondNorfolk
2016-10-09,1.82,conventional,2016,Chicago
2016-03-06,2.18,organic,2016,HartfordSpringfield
2016-11-06,1.84,organic,2016,West
2015-06-21,1.24,conventional,2015,Chicago
2017-04-02,1.33,conventional,2017,Denver
2017-12-03,1.58,organic,2017,MiamiFtLauderdale
2016-01-17,1.73,organic,2016,Detroit
2015-05-03,1.64,organic,2015,Sacramento
2017-03-26,0.77,organic,2017,Nashville
2017-01-22,1.06,conventional,2017,NewOrleansMobile
2017-05-07,1.19,conventional,2017,Midsouth
2015-04-12,1.89,organic,2015,Jacksonville
2018-03-11,1.43,conventional,2018,GrandRapids
2015-10-04,1.67,organic,2015,GreatLakes
2017-08-27,1.68,conventional,2017,Philadelphia
2016-05-29,1.08,conventional,2016,Boston
2016-07-03,1.13,conventional,2016,GreatLakes
2015-03-08,0.72,conventional,2015,PhoenixTucson
2018-01-28,1.29,organic,2018,NorthernNewEngland
2016-04-24,0.88,conventional,2016,Seattle
2018-01-07,1.91,organic,2018,Boston
2016-12-25,1.07,conventional,2016,Columbus
2017-04-09,1.18,organic,2017,West
2015-08-02,1.09,conventional,2015,LasVegas
2015-10-25,1.22,conventional,2015,Jacksonville
2016-06-26,1.02,organic,2016,CincinnatiDayton
2016-10-23,2.58,organic,2016,California
2017-05-28,2.09,organic,2017,Jacksonville
2016-11-20,1.87,organic,2016,RaleighGreensboro
2015-02-15,1.06,conventional,2015,Albany
2017-01-29,0.87,conventional,2017,Indianapolis
2018-03-18,1.93,organic,2018,RaleighGreensboro
2016-01-17,1.44,organic,2016,Columbus
2015-08-23,1.08,conventional,2015,Portland
2016-11-06,1.44,conventional,2016,TotalUS
2016-11-27,0.93,conventional,2016,SouthCentral
2018-01-07,1.43,conventional,2018,Northeast
2018-02-11,1.11,conventional,2018,NorthernNewEngland
2016-10-30,1.19,conventional,2016,SouthCentral
2015-05-24,1.14,conventional,2015,Seattle
2015-12-13,1.32,organic,2015,Spokane
2016-12-04,1.54,conventional,2016,Philadelphia
2016-09-25,1.26,conventional,2016,Atlanta
2015-01-04,1.56,organic,2015,Midsouth
2015-03-15,1.24,conventional,2015,BaltimoreWashington
2017-07-16,1.58,conventional,2017,Sacramento
2016-01-24,1.16,conventional,2016,Plains
2016-07-24,1.88,organic,2016,West
2015-08-02,1.14,conventional,2015,GreatLakes
2017-06-25,1.35,conventional,2017,Orlando
2017-03-19,1.55,organic,2017,RichmondNorfolk
2017-12-24,1.44,organic,2017,DallasFtWorth
2015-09-27,1.07,conventional,2015,Boston
2015-11-08,1.73,organic,2015,Plains
2016-11-06,1.44,conventional,2016,Southeast
2016-04-24,1.5,organic,2016,Midsouth
2015-05-31,1.54,organic,2015,Boise
2017-02-12,0.9,conventional,2017,Jacksonville
2017-05-21,0.89,conventional,2017,WestTexNewMexico
2016-08-07,2.36,organic,2016,HartfordSpringfield
2015-10-18,0.99,conventional,2015,BaltimoreWashington
2018-01-28,1.61,organic,2018,Tampa
2015-12-27,0.98,conventional,2015,SouthCarolina
2015-08-02,1.81,organic,2015,West
2016-01-24,0.9,conventional,2016,Southeast
2018-01-14,1.2,conventional,2018,TotalUS
2017-01-22,0.87,conventional,2017,Nashville
2015-03-15,1.4,conventional,2015,HartfordSpringfield
2016-02-14,1.07,organic,2016,West
2017-10-22,1.48,organic,2017,HarrisburgScranton
2017-09-17,2.39,organic,2017,LasVegas
2015-09-20,2.31,organic,2015,HartfordSpringfield
2016-02-07,1.27,organic,2016,DallasFtWorth
2016-01-10,1.31,organic,2016,CincinnatiDayton
2017-02-05,1.09,conventional,2017,BaltimoreWashington
2016-02-14,1.29,organic,2016,RichmondNorfolk
2015-05-24,1.26,conventional,2015,Northeast
2015-11-29,1.45,organic,2015,Philadelphia
2016-05-22,1.57,organic,2016,Boston
2016-04-03,1.37,organic,2016,Tampa
2016-07-24,1.01,conventional,2016,LosAngeles
2016-02-14,1.59,organic,2016,Boston
2016-05-22,0.9,conventional,2016,Denver
2017-04-23,2.49,organic,2017,HartfordSpringfield
2015-11-08,1.14,organic,2015,Denver
2015-05-17,1.02,conventional,2015,SanDiego
2015-02-01,1.33,conventional,2015,BuffaloRochester
2017-11-12,0.96,conventional,2017,DallasFtWorth
2016-07-10,0.87,conventional,2016,WestTexNewMexico
2017-06-11,1.35,organic,2017,Roanoke
2016-10-09,1.32,conventional,2016,SouthCarolina
2015-01-25,2.01,organic,2015,SouthCarolina
2016-08-07,1.04,conventional,2016,Roanoke
2017-11-05,1.82,organic,2017,Northeast
2015-02-15,0.77,conventional,2015,DallasFtWorth
2015-01-11,1.07,conventional,2015,Nashville
2016-11-27,2.18,organic,2016,Philadelphia
2016-10-16,1.49,organic,2016,NorthernNewEngland
2016-10-02,1.9,organic,2016,Indianapolis
2016-10-30,1.11,conventional,2016,PhoenixTucson
2017-01-29,1.36,organic,2017,StLouis
2016-04-03,0.89,conventional,2016,NewOrleansMobile
2017-03-12,1.65,conventional,2017,HartfordSpringfield
2017-08-20,1.47,organic,2017,Pittsburgh
2017-07-30,2.1,organic,2017,LosAngeles
2015-03-08,1.79,organic,2015,Albany
2017-11-12,1.81,organic,2017,Sacramento
2015-09-13,1.1,conventional,2015,Tampa
2016-11-27,1.49,conventional,2016,RaleighGreensboro
2018-03-11,1.0,conventional,2018,RichmondNorfolk
2015-09-13,1.43,organic,2015,MiamiFtLauderdale
2016-06-12,1.45,conventional,2016,SanFrancisco
2018-03-25,1.1,conventional,2018,SanDiego
2016-11-06,1.39,conventional,2016,Roanoke
2016-02-21,1.15,conventional,2016,SanFrancisco
2015-01-25,1.8,organic,2015,HarrisburgScranton
2016-11-20,1.39,conventional,2016,NorthernNewEngland
2016-12-11,1.06,conventional,2016,Atlanta
2016-11-27,1.21,conventional,2016,California
2017-07-16,1.28,conventional,2017,West
2017-12-10,1.5,organic,2017,SouthCentral
2015-02-08,0.93,conventional,2015,CincinnatiDayton
2016-03-06,1.42,organic,2016,Columbus
2015-01-11,1.17,conventional,2015,BaltimoreWashington
2015-07-05,1.05,conventional,2015,Indianapolis
2015-12-20,1.77,organic,2015,RaleighGreensboro
2015-09-27,1.93,organic,2015,NorthernNewEngland
2016-08-07,0.96,conventional,2016,Portland
2017-04-09,1.94,organic,2017,SanDiego
2017-04-09,0.9,conventional,2017,WestTexNewMexico
2015-04-26,1.51,organic,2015,RaleighGreensboro
2017-04-16,1.46,conventional,2017,NorthernNewEngland
2017-10-08,1.98,conventional,2017,Louisville
2015-11-22,1.46,organic,2015,DallasFtWorth
2015-07-12,1.13,conventional,2015,Louisville
