department,job_title,salary,nb_months
QFA - Budget / Fiscal Planning,Business & Finance Analyst,104868,12
YIA - Intercolleg Athletics,Asst AD-Business Ops,68976,12
AAR - Applied Economics,Department Head,185400,12
PHR - Pharmacy Professnl Instr,Instructor,105e3,12
MSA - Academic Achievement,Innovation Alliance Fellow,61896,12
"OAS - Earth, Ocean & Atmo Sci",Instructor,81996,12
"OAS - Earth, Ocean & Atmo Sci",Dir-Student Services,68604,12
"OAS - Earth, Ocean & Atmo Sci",Senior Faculty Research AsstII,75180,12
ABP - Ag Botany / Plant Path,Faculty Research Assistant,35400,12
AFW - Fisheries and Wildlife,Faculty Research Assistant,46200,12
AFW - Fisheries and Wildlife,Head Advisor,63756,12
PHR - Pharmacy Professnl Instr,Academic Advisor,49008,12
MSA - Career Development Ctr,External Relations Manager,42504,12
ESE - Sch Elect Engr/Comp Sci,Professor,18e4,9
GRD - Graduate School Admin,Targeted Schol & Enroll Spec,54336,12
UPR - Office of the President,Chief Assistant to President,111912,12
SMB - Microbiology (Science),Faculty Research Assistant,50004,12
PHR - Pharmacy Professnl Instr,Research Program Administrator,79644,12
XEM - Office of Scholarships,Assistant Director,54e3,12
ACS - Crop/Soil Sci Extension,Administrator 3-Res & Serv Ops,72120,12
MHD - Univ Housing and Dining,Area Dir-Condct & Comm Stand.,53316,12
MHD - Univ Housing and Dining,"Dir Div Init & Pr, AscDir-UHDS",100008,12
ESE - Sch Elect Engr/Comp Sci,Assistant to School Head,55008,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,43680,12
YIA - Intercolleg Athletics,Asst Coach-Gymnastics,80592,12
YIA - Intercolleg Athletics,Asst Dir-Sports Information,51048,12
ACS - Crop and Soil Science,"Mgr, Central Analytical Lab",57432,12
JIS - Academic Technologies,Program Coordinator,47796,12
ESE - Sch Elect Engr/Comp Sci,Assistant Professor,101016,9
BUS - College of Business Dept,Advisor-Academic,54396,12
CLA - Sch of Psychological Sci,Advisor-Head Academic,58728,12
MHD - Dining Centers,Dining Operations Manager,55920,12
YIA - Intercolleg Athletics,Asst Coach-Strength & Cond/FB,70260,12
HHS - EXT 4-H YouthDev OffCmps,Coordinator-Outreach Program,56472,12
ABP - Ag Botany / Plant Path,Assistant Professor,85248,9
YIA - Intercolleg Athletics,Trainer-Athletic Camps,51996,12
ATX - Enviro / Molecular Toxic,Professor,154242,9
PHR - Pharmacy Professnl Instr,Assistant Professor (Clinical),110340,12
XEM - Pre-College Programs,GEAR UP School Liaison,63876,12
ACS - Crop/Soil Extn Field Fac,Associate Professor,87504,12
ANW - North Willamette Exp Sta,Mgr-Farm and Facilities,52128,12
UPR - Equal Opportunity&Access,Equity Associate,82416,12
YIA - Intercolleg Athletics,Asst Trainer-Athletics,42e3,12
ANW - North Willamette Exp Sta,Faculty Research Assistant,47400,12
AFW - Fisheries and Wildlife,Senior Faculty Research Asst I,47856,12
BUS - College of Business Dept,Advisor-Academic,50448,12
AHT - Horticltr Extn Field Fac,Associate Professor (Practice),72108,12
RIP - VP for Research,IRB Specialist,46560,12
RDR - AdvTech&MftgInst (ATAMI),Director of MBI Transformation,260040,12
AGA - College of Ag Extension,Associate Professor,92340,12
ATX - Enviro / Molecular Toxic,Assistant Professor (Sr Res),79596,12
AAR - Applied Economics,Professor,194382,9
TEX - Extension Service Admin,Faculty Research Assistant,41220,12
RMS - Hatfield Marine Sci Ctr,Coordinator-Cap Const Proj Mgr,67620,12
EMM - Sch of Mech/Ind/Mfg Engr,Professor,134982,9
SCI - College of Science Admin,Advisor-Head Academic,63468,12
AFW - Fisheries and Wildlife,Instructor,53508,12
INT - INTO OSU Program,General English Manager,61452,12
MSA - Diversity/Cultural Engag,Assoc Dir DCE/Women’s Ctr Dir,70464,12
ESE - Sch Elect Engr/Comp Sci,Engineer-CASS Systems Dev,72816,12
KED - College of Education,Assistant Professor,76662,9
MSA - Human Svcs Resource Ctr,Case Manager,54e3,12
AFW - Fisheries and Wildlife,Assistant Professor,86004,9
ASC - An/RngSci Extn Field Fac,Assistant Professor,74484,12
HHS - Public Hlth/HumanSci Adm,MPH Administrative Director,59100,12
AFW - Fisheries and Wildlife,Assistant Professor,82197,9
ECB - Sch of Chem/Bio/Envr Eng,Assistant Professor,104670,9
"OAS - Earth, Ocean & Atmo Sci",Senior Faculty Research Asst I,71460,12
HHS - EXT 4-H YouthDev OnCmps,Sabbatical,112656,12
ECC - Sch of Civil/Constr Engr,Assistant Professor,91071,9
TEE - Professional & Cont Educ,Marketing Manager,71592,12
QBC - Univ Admin Business Ctr,Mgr-Finance & Accounting,86040,12
ABP - Ag Botany / Plant Path,Faculty Research Assistant,90780,12
BUS - College of Business Dept,Professor,187848,9
HHS - Faculty/Staff Fitness,FSF Instructor,51984,12
ENG - College of Engineering,Professor,154413,9
HHS - EXT 4-H YouthDev OffCmps,Associate Professor,78996,12
ZSS - Univ Shared Svcs Entrprs,Dir-Inform Tech Services (ITS),149364,12
MSA - Vice Prov / Student Aff,Ex Dir-InternlStdt&ScholarSvcs,108156,12
ASC - Animal & Rnglnd Sciences,Assistant Professor,81036,9
TEX - Ext Polk County Office,Administrator Office Manager,55332,12
AMB - Microbiology (Ag),Research Associate,68808,12
"QBA - Procur,Cont&MaterialsMgt",Mgr-Admin & Diversity,64896,12
JIS - Inst Analytcs & Reportng,Analyst-Information Systems,86724,12
AGA - College of Ag Admin,Asst-Assoc Deans,45996,12
YIA - Intercolleg Athletics,Sr Assoc AD-Athletic Medicine,23400,12
ASF - COMES - Newport Exp Sta,Research Associate (Post Doc),51552,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,54072,12
"UPR - Audit, Risk & Compliance",Staff Auditor,65016,12
QCP - Capital Planning & Devlp,Mgr-Construction,84e3,12
AGA - College of Ag Admin,Executive Asst to the Dean,81816,12
PHR - Pharmacy Professnl Instr,Head Advisor,79368,12
ECB - Sch of Chem/Bio/Envr Eng,Assistant Professor,99288,9
AEU - EOARC - Union Exp Sta,Faculty Research Assistant,39384,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,54132,12
ECB - Sch of Chem/Bio/Envr Eng,Research Associate,84756,12
HHS - EXT Fam/CommHlth OffCmps,Coordinator-SNAP-Ed Program,50148,12
CLA - Music Department,Assistant Professor,65988,9
ECC - Sch of Civil/Constr Engr,Associate Professor,107559,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,36432,12
WHC - Univ Honors College,Advisor,51e3,12
QBC - Aux & Activ Business Ctr,Finance Coordinator,69708,12
ABE - Biol & Ecol Engineering,Associate Professor (Sr Res),95844,12
KED - College of Education,Director-Online Education,77724,12
QFA - Human Res BC Ops - AABC,Human Resources Consultant 2,68352,12
***Change to 104000 eff 7/1/19,Dir-Marktng & Enrollment Servs,95004,12
HHS - Sch of Bio/Pop Hlth Sci,Assistant Professor,82827,9
"QBA - Procur,Cont&MaterialsMgt",Officer-Contracts,83004,12
DLB - Library,Associate Professor,82812,12
INT - INTO OSU Program,Instructor (ESL),41748,12
OAS - Ship Operations,Mgr-Project,178932,12
FOR - Forest Eng/Resourcs/Mgmt,Professor,153492,12
ESE - Sch Elect Engr/Comp Sci,Professor,147474,9
YIA - Intercolleg Athletics,Assoc Coach-Baseball,160008,12
FOR - Forest Ecosyst & Society,Coord - Program Admin,53052,12
ECB - Sch of Chem/Bio/Envr Eng,Assistant Professor,104346,9
ATX - Enviro / Molecular Toxic,Professor,166800,12
AMM - Marine Mammal Institute,Professor,145740,12
NIA - Oregon State Productions,Dir-Web Communications,101688,12
KED - College of Education,Instructor,48924,12
YIA - Intercolleg Athletics,Asst Coach-Women’s Basketball,103344,12
WHC - Univ Honors College,Director-Stud Success&Engagmnt,75468,12
EMM - Sch of Mech/Ind/Mfg Engr,Associate Professor,117387,9
QBA - Business Affairs,Accounts Receivable Supervisor,65004,12
"OAS - Earth, Ocean & Atmo Sci",Mgr-Facilities and Operations,96780,12
BUS - College of Business Dept,Professor,163548,9
AKL - Klamath Basin Res&ExtCtr,Faculty Research Assistant,43056,12
YIA - Intercolleg Athletics,Trainer-Athletic Camps,51996,12
AFC - Food Innovation Center,Faculty Research Assistant,72588,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,38496,12
MSI - Orange Media Network,Dir-Exper/Learning Activities,89148,12
MSA - Counseling Center,Assoc. Dir - Clinical Services,135072,12
QRS - Enterprise Risk Services,Hazardous Waste Safety Officer,75372,12
QUB - Dept of Public Safety,Mgr-Emergency Preparedness,94992,12
MUN - Retail Food Service,Mgr-Retail Food Service,44376,12
UPR - Equal Opportunity&Access,Equity Associate,105e3,12
NIA - Public Records Office,Public Records Officer,73200,12
RDR - CIMRS (Inst/Marine Res),Marine Fisheries Geneticist,117612,12
NPM - Printing & Mailing Svcs,Assoc Dir-Print & Mail Ops,91644,12
QUB - Dept of Public Safety,Executive Assistant,70116,12
SBB - Biochem / Biophysics,Professor,135954,9
JIS - Info Svcs Central Admin,Mgr-Senior Program,127440,12
EMM - Sch of Mech/Ind/Mfg Engr,Advisor-Academic,53112,12
ECC - Sch of Civil/Constr Engr,Associate Professor,112986,9
"OAS - Earth, Ocean & Atmo Sci",Senior Faculty Research AsstII,71736,12
CLA - Sch of Wrtg Lit & Film,Professor,105291,9
BUS - College of Business Dept,Associate Professor,151821,9
AIP - Integrtd Plant Prot (Ag),Research Associate (Post Doc),48e3,12
YIA - Intercolleg Athletics,Head Coach-Volleyball,160008,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,38460,12
"CLA - Sch Lang, Culture & Soc",Associate Professor,77949,9
GRD - Graduate School Admin,Coordinator-Student Service,59676,12
"OAS - Earth, Ocean & Atmo Sci",Professor,102618,9
YIA - Intercolleg Athletics,VP & Athletic Director,901776,12
BUS - College of Business Dept,Associate Professor,152307,9
SZO - Integrative Biology,Assistant Professor,81783,9
ACB - Columbia Basin Exp Sta,Assistant Professor,79794,9
CLA - Sch of Hist Phil & Rel,Assistant Professor,66366,9
XPV - Provost / Exec Vice Pres,Exec Dir-Marine Stud. Init,197964,12
SCH - Chemistry,Senior Instructor I,74376,12
MSH - Student Health Services,Coordinator-Digital Marketing,54e3,12
YIA - Intercolleg Athletics,Deputy AD-Cap Pro/Internal Ops,199512,12
AMB - Microbiology (Ag),Professor,145704,12
ATX - Enviro / Molecular Toxic,Senior Faculty Research Asst I,72084,12
RDR - Superfund Research Ctr,Faculty Research Assistant,51300,12
ABP - Ag Botany / Plant Path,Faculty Research Assistant,57816,12
YIA - Intercolleg Athletics,Asst Coach-Strength & Cond,40452,12
HHS - Hlth Hum Sci SW Outreach,Mgr-Training,78168,12
ENG - College of Engineering,Executive Associate Dean,248772,12
ESE - Sch Elect Engr/Comp Sci,Coord-Corporate Relations/Comm,75e3,12
ECC - Sch of Civil/Constr Engr,Mgr-Lab/Research,98076,12
HHS - Sch of Bio/Pop Hlth Sci,Visiting Professor,164004,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,54084,12
TOS - Outdoor School,Asst to ODS Program Leader,64536,12
ASU - Southern Oregon Exp Sta,Farm Manager,46644,12
RDR - CIMRS (Inst/Marine Res),Assistant Professor (Sr Res),66e3,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,36432,12
EMM - Sch of Mech/Ind/Mfg Engr,Associate Professor,111600,9
TEX - Ext Jackson Co Office,Coordinator-Outreach Program,50004,12
INT - INTO OSU Program,Instructor (ESL),45972,12
XUS - Acad Progms & Assessment,Coord- Senior Curriculum,72084,12
HHS - Sch of Bio/Pop Hlth Sci,Senior Instructor I,55467,9
LCB - Acad Prog / Student Aff,Assist Dir/Admissions Recruit,46884,12
PHR - Pharmacy Professnl Instr,Assoc Dean-AcdIntgrtn/ClinAdv,186048,12
SCH - Chemistry,Associate Professor,91116,9
PHR - Pharmacy Professnl Instr,Exec Asst to the Dean,65508,12
HHS - Sch of Bio/Pop Hlth Sci,Research Associate,57684,12
"OAS - Earth, Ocean & Atmo Sci",Research Associate (Post Doc),58752,12
SMB - Microbiology (Science),Advisor-Health Professions,43620,12
XEM - Pre-College Programs,Mgr-GEAR UP Program Comms Spec,65940,12
GRD - Graduate School Admin,Assistant Dean,112560,12
"OAS - Earth, Ocean & Atmo Sci",Professor,109638,9
"OAS - Earth, Ocean & Atmo Sci",Senior Instructor I,87348,12
BUS - College of Business Dept,Associate Professor,160992,9
CLA - Sch of Psychological Sci,Dir-Sch of Pyschological Sci,130008,12
MHD - Univ Housing and Dining,Area Dir-Academic Initiatives,54084,12
SBB - Biochem / Biophysics,Distinguished Professor,201231,9
DAA - Faculty Affairs Admin,Associate Professor,158220,9
FOR - Forest Ecosyst & Society,Assistant Professor (Sr Res),78768,12
MSI - Stdnt Leadershp & Involv,Coord-SustainabilityCivicEngag,51504,12
OAS - Ship Operations,Marine Technichan,61764,12
BUS - College of Business Dept,Events Manager,57804,12
RNR - Institute Natrl Res Dir,Faculty Research Assistant,52008,12
ABP - Ag Botany / Plant Path,Professor,144756,9
SBB - Biochem / Biophysics,Faculty Research Assistant,45e3,12
SMT - Mathematics,Associate Professor,94212,9
FOR - Forestry & Natrl Res Ext,Assistant Professor,86292,12
XUS - Acad Progms & Assessment,Assessment Analyst,50916,12
AHT - Horticltr Extn Field Fac,Professor (Practice),80796,12
KED - College of Education,Professor,123021,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,36432,12
MRS - Recreational Sports,Coord-Experiential Education,57480,12
MSA - Writing Center,Director-Writing Center,84480,12
FOR - Ext Forestry OFF Campus,Associate Professor,80028,12
XEM - Office of the Registrar,Assoc. Registrar-Compliance,93504,12
MSA - Disability Access Srvcs,Manager of Access Services,73536,12
YIA - Intercolleg Athletics,Head Coach-Softball,12e4,12
FOR - Forestry & Natrl Res Ext,Extension Associate,57096,12
BUS - College of Business Dept,Associate Professor,178002,9
"QBA - Procur,Cont&MaterialsMgt",Contracts and Ops Specialist,64896,12
RDR - AdvTech&MftgInst (ATAMI),Specialist 2-Engineer,67620,12
GRD - Graduate School Admin,Administrative Assistant To,47808,12
LCB - Community Relatns/Admin,Transportation Program Manager,82596,12
VBS - Vet Biomedical Science,Department Head,202500,12
"OAS - Earth, Ocean & Atmo Sci",Associate Professor,97284,12
CLA - Liberal Arts Admin,Associate Professor,91998,9
CLA - School of Public Policy,Associate Professor,78471,9
GRD - Graduate School Admin,Associate Professor,96705,9
RNR - INR-Or Biodvrsty InfoCtr,Lead GIS Analyst,53604,12
CLA - Sch of Psychological Sci,Professor,119601,9
HHS - Sch of Bio/Pop Hlth Sci,Associate Professor,100494,9
CLA - Liberal Arts Admin,Associate Professor,82899,9
FOR - Forest Ecosyst & Society,Professor,164148,12
ACS - Crop/Soil Sci Extension,Instructor,52704,12
SZO - Integrative Biology,Administrative Assistant,72564,12
***Change to 104000 eff 7/1/19,Executive Assistant,70008,12
SST - Statistics (Science),Assistant Professor,89892,9
AFW - Fisheries and Wildlife,Assistant Professor,91890,9
TEE - Out & Engage Open Campus,Conference & Event Manager,60252,12
RMS - Hatfield Marine Sci Ctr,Custodial Supervisor,54e3,12
RIP - VP for Research,Business System Analyst,71856,12
JIS - Academic Technologies,Learning Platform Product Mgr,80004,12
SZO - Integrative Biology,Senior Instructor I,78216,12
VMD - Veterinary Medicine,Professor,171372,12
LCB - Acad Prog / Student Aff,Professor (Clinical),84684,12
QFA - Human Res BC Ops - ASBC,Human Resources Consultant 1,46428,12
QUB - Dept of Public Safety,Patrol Sergeant,66408,12
JIS - Inst Analytcs & Reportng,Data Reference Specialist,63e3,12
RMS - Hatfield Marine Sci Ctr,Mechanical Supervisor,56184,12
TEX - Ext Marion County Office,Outreach Program Coordinator,52068,12
ASC - Animal & Rnglnd Sciences,Assistant Professor,83835,9
MSA - Counseling Center,Assist to Director,68820,12
QFA - Human Resources-Central,Officer-Human Resources,72444,12
FOR - Forest Ecosyst & Society,Senior Instructor I,73320,12
ASC - Animal & Rnglnd Sciences,Assistant Professor,77004,9
CLA - Sch of Hist Phil & Rel,Coord-Academic,64620,12
VDL - Vet Diagnostic Lab,Microbiologist/Lab Tech,53112,12
VCS - Vet Clinical Sciences,Assistant Professor,138e3,12
ABP - Ag Botany / Plant Path,Research Associate (PostDoc),46008,12
QFA - Human Resources-Central,Assoc Dir-Learning & Org Dev,105780,12
AFW - Fisheries and Wildlife,Faculty Research Assistant,50856,12
YIA - Intercolleg Athletics,Assoc AD/Chief of Staff,78972,12
RDR - Ctr Excellnce Genome Res,Faculty Research Assistant,65004,12
QBC - Aux & Activ Business Ctr,Coord-Business Operations,52920,12
"OAS - Earth, Ocean & Atmo Sci",Faculty Research Assistant,51e3,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,42648,12
HHS - EXT 4-H YouthDev OnCmps,Associate Professor,79332,12
FOR - Forest Eng/Resourcs/Mgmt,Assistant Professor,87813,9
SZO - Integrative Biology,Senior Instructor II,87120,12
SCH - Chemistry,Associate Professor,93528,9
RSG - Sea Grant,Stem Hub Director,75e3,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,51996,12
SZO - Integrative Biology,Distinguished Professor,180171,9
HHS - Sch of Soc/Bhav Hlth Sci,Faculty Research Assistant,45e3,12
"OAS - Earth, Ocean & Atmo Sci",Research Associate (Post Doc),53004,12
HHS - Sch of Bio/Pop Hlth Sci,Research Associate (Post Doc),45e3,12
QFA - Budget / Fiscal Planning,Professor,164880,9
SZO - Integrative Biology,Professor,133047,9
FOR - Forest Ecosyst & Society,Senior Faculty Research Asst I,68280,12
EMM - Sch of Mech/Ind/Mfg Engr,Assistant Professor,108e3,9
ESE - Sch Elect Engr/Comp Sci,Assistant Professor,114156,9
ASC - Animal & Rnglnd Sciences,Associate Professor,91224,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,36432,12
ATX - Enviro / Molecular Toxic,Faculty Research Assistant,46236,12
XEM - AssocProv Enrollmnt Mgmt,Vice Provost-Enroll Mgmt,275004,12
CLA - Sch of Psychological Sci,Associate Professor,83466,9
GRD - Graduate School Admin,Director Env Sci Grad Program,124272,12
AGA - College of Ag Admin,Professor,174612,12
SMT - Mathematics,Department Head,128898,9
ACS - Crop/Soil Extn Field Fac,Associate Professor,83004,12
ASF - COMES - Newport Exp Sta,Faculty Research Assistant,53052,12
AEB - EOARC - Burns Exp Sta,Professor,110100,12
"OAS - Earth, Ocean & Atmo Sci",Assistant Profesor,92004,12
SMT - Mathematics,Professor,100269,9
SZO - Integrative Biology,Faculty Research Assistant,48420,12
ABE - Biol & Ecol Engineering,Department Head,177708,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,39516,12
HHS - Hlth Hum Sci SW Outreach,Mgr-Business,80592,12
VTH - Vet Teaching Hospital,CT/Radiology/Flouroscopy Tech,72984,12
ANW - North Willamette Exp Sta,Director,147540,12
UPR - Equal Opportunity&Access,Equity Associate,94260,12
SBB - Biochem / Biophysics,Research Associate (Post Doc),52044,12
DLB - Library,Associate Professor,97632,12
PHR - Pharmacy Professnl Instr,Acad & Exper Ed Assess Analst,65796,12
DLB - Library,Director - OSU Press,88008,12
"CLA - Sch Lang, Culture & Soc",Assistant Professor,70542,9
TEX - 4-H OR Conf/Educ Center,4-H Center Manager,61080,12
ESE - Sch Elect Engr/Comp Sci,Assoc.Sch.Head for Grad Prog,184620,12
ESE - Sch Elect Engr/Comp Sci,Professor,184473,9
ECC - Sch of Civil/Constr Engr,Research Associate,76392,12
YIA - Intercolleg Athletics,Head Coach-Men’s Soccer,165e3,12
HHS - EXT 4-H YouthDev OnCmps,4-H Program Coordinator,61884,12
ECB - Sch of Chem/Bio/Envr Eng,Associate Professor,126045,9
QBA - Business Affairs,Manager of Financial Reporting,88440,12
XEM - Pre-College Programs,Director-Precollege Programs,85008,12
CLA - School of Public Policy,Associate Professor,98964,9
"CLA - Sch Lang, Culture & Soc",Professor,91323,9
HHS - EXT 4-H YouthDev OnCmps,Professor,109224,12
BUS - College of Business Dept,Senior Instructor II,109962,9
AHT - Horticltr Extn Field Fac,Assistant Professor (Practice),63516,12
SZO - Integrative Biology,Senior Instructor I,76620,12
KED - College of Education,Administrator 1-Assoc Dean,140556,12
HHS - Sch of Bio/Pop Hlth Sci,Assistant Professor,75006,9
HHS - Sch of Bio/Pop Hlth Sci,Professor,108504,9
NIA - University Marketing,Marketing Writer,49008,12
PHR - Pharmacy Professnl Instr,Director - VTH Pharmacy,135096,12
SMT - Mathematics,Senior Instructor I,60750,9
MSI - Stdnt Leadershp & Involv,Dir-Civic Engagement&Ldrship,70380,12
MSA - Vice Prov / Student Aff,Dir-Stu Affairs Com-Marketing,91860,12
MUN - Memorial Union,Digital Marketing Coordinator,52008,12
YIA - Intercolleg Athletics,QualityControlAnalyst-Offense,65004,12
"OAS - Earth, Ocean & Atmo Sci",Faculty Research Assistant,58032,12
"OAS - Earth, Ocean & Atmo Sci",Admin Assist to Associate Dean,54876,12
VCS - Vet Clinical Sciences,Associate Professor,142404,12
ECB - Sch of Chem/Bio/Envr Eng,Director of Operations,80808,12
***Change to 104000 eff 7/1/19,Dir-Acad Prog & Data Analytics,108300,12
CLA - Art Department,Associate Professor,81918,9
HHS - Physical ActivityCourses,Scuba Certification Evaluator,28608,12
AHT - Horticulture,Faculty Research Assistant,41220,12
QFA - Human Res BC Ops - HSBC,Human Resources Consultant 1,42864,12
TEX - Ext/Exp S Communications,Public Issues Education Leader,70200,12
JIS - Academic Technologies,Fitness Instructor,41580,12
AFW - Fisheries and Wildlife,Professor,169440,12
HHS - Sch of Bio/Pop Hlth Sci,Professor,114750,9
QFA - Human Resources-Central,Analyst-HR Technical,62244,12
AHT - Horticulture,Associate Professor,134448,12
HHS - EXT Fam/CommHlth OnCmps,Professor,137007,9
MSH - Student Health Services,Spec-Alcohol & Drug Prevention,69504,12
HHS - Sch of Bio/Pop Hlth Sci,Dean Emeritus,205308,9
YIA - Intercolleg Athletics,Asst Coach-Football,300012,12
AHT - Horticulture,Senior Faculty Research Asst I,52620,12
QBC - Univ Admin Business Ctr,Mgr-Business Center,156900,12
ESE - Sch Elect Engr/Comp Sci,Professor,145062,9
AHT - Horticulture,Administrative Manager,66636,12
AHT - Horticulture,Senior Faculty Research AsstII,70392,12
CLA - Music Department,Associate Professor,70983,9
ESE - Sch Elect Engr/Comp Sci,Instructor,81828,12
AMB - Microbiology (Ag),Research Associate,6e4,12
DLB - Library,Sabbatical,68496,12
ENS - Sch Nuclear Sci & Engr,Assistant Professor,94005,9
QBC - AgSci/Marine BusinessCtr,Finance Coordinator,70716,12
"OAS - Earth, Ocean & Atmo Sci",Administrative Manager,6e4,12
JIS - IT Infrastructure Svcs,Engineer-Network Senior,97548,12
HHS - EXT Fam/CommHlth OffCmps,Assistant Professor (Practice),69696,12
QTS - Transportation Services,Transportation Options Supv,56208,12
"OAS - Earth, Ocean & Atmo Sci",Distinguished Professor,137889,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,53040,12
XEM - The SMILE Program,Program Coordinator,55008,12
TOS - Outdoor School,Research Coordinator,71004,12
MHD - Univ Housing and Dining,Mrkt & Comm Manager - UHDS,67008,12
HHS - EXT 4-H YouthDev OffCmps,4-H Youth/SNAP Ed Educator,54792,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,36432,12
PHR - Pharmacy Professnl Instr,Assistant Professor,113520,12
VTH - Vet Teaching Hospital,CT/Radiology/Flouroscopy Tech,72984,12
DLB - Library,Marketing Manager,63744,12
TEX - Ext/Exp S Communications,Mgr-Publishing,56292,12
QBA - Business Affairs,SIS AR Analyst,80040,12
FOR - College Forests,Mgr-Recreation and Engagement,70080,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,40560,12
ECC - Sch of Civil/Constr Engr,Associate Professor,124695,9
ACS - Crop/Soil Sci Extension,Specialist 2-Seed Cert 1,52692,12
"OAS - Earth, Ocean & Atmo Sci",Engineer-Chief,110004,12
QFA - Human Resources-Central,Officer-Protected Leave,53592,12
HHS - EXT 4-H YouthDev OffCmps,Assistant Professor (Practice),61284,12
LCB - Acad Prog / Student Aff,Associate Professor,49536,9
UPR - Office of the President,Assistant General Counsel,136656,12
XPV - Provost / Exec Vice Pres,Special Assistant to Provost,125892,12
