Year Type,Year,Organization Group Code,Organization Group,Department Code,Department,Union Code,Union,Job Family Code,Job Family,Job Code,Job,Employee Identifier,Salaries,Overtime,Other Salaries,total_salary,Retirement,Health/Dental,Other Benefits,Total Benefits,total_compensation
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,790,"SEIU - Miscellaneous, Local 1021",1800,"Budget, Admn & Stats Analysis",1820,Junior Administrative Analyst,6062,46135.06,39.26,40,46214.32,10658.67,10513.04,3674.37,24846.08,71060.4
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,17430,7715.81,0,3875.52,11591.33,0,663.04,899.67,1562.71,13154.04
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3417,Gardener,50290,28782.6,0,1317.29,30099.89,5377.62,5638.82,2316.27,13332.71,43432.6
Calendar,2015,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,38,"Plumbers and Pipefitters, Local 38",7300,Journeyman Trade,7388,Utility Plumber,45475,81506.01,18976.85,695.96,101178.82,16466.98,10035.16,8049.97,34552.11,135730.93
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,6,"Electrical Workers, Local 6",7300,Journeyman Trade,7371,Electrical Transit System Mech,37055,84644.05,5611.84,4564,94819.89,17982.68,12424.5,7735.15,38142.33,132962.22
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,24421,49146.82,20403.65,3968.67,73519.14,15090.64,9773.36,5701.7,30565.7,104084.84
Calendar,2015,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,39,"Stationary Engineers, Local 39",7300,Journeyman Trade,7343,"Sr Statnry Eng, Wtr Treat Plnt",26291,106090.1,4942.19,11041.76,122074.05,23728.11,12424.5,9769.74,45922.35,167996.4
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,45364,34677.98,6272.62,3913.77,44864.37,9728.07,6772.9,3485.19,19986.16,64850.53
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,351,Municipal Executive Association - Miscellaneous,9100,Street Transit,9180,"Manager VI, MTA",16742,158707.02,0,0,158707.02,31940.4,12424.5,17656.05,62020.95,220727.97
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,2320,Registered Nurse,42013,77507.11,771.08,22635.39,100913.58,18083.42,6904.98,3913.26,28901.66,129815.24
Calendar,2015,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,790,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9922,PS Aide To Prof,12997,2126.02,0,0,2126.02,367.65,627.2,164.96,1159.81,3285.83
Calendar,2015,1,Public Protection,DAT,District Attorney,311,Municipal Attorneys' Association,8100,Legal & Court,8177,Attorney (Civil/Criminal),23622,25040,0,8102.37,33142.37,5704.63,2389.33,2574.76,10668.72,43811.09
Calendar,2015,1,Public Protection,SHF,Sheriff,498,Deputy Sheriffs' Association,8300,Correction & Detention,8304,Deputy Sheriff,14828,97390.81,2881.06,12870.33,113142.2,26842.69,12376.73,1882.5,41101.92,154244.12
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9910,Public Service Trainee,13593,3001.26,0,0,3001.26,0,1463.46,232.74,1696.2,4697.46
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",8200,Protection & Apprehension,8201,School Crossing Guard,46006,2954.54,0,0,2954.54,0,1060.26,239.94,1300.2,4254.74
Calendar,2015,6,General Administration & Finance,ADM,General Services Agency - City Admin,790,"SEIU - Miscellaneous, Local 1021",1800,"Budget, Admn & Stats Analysis",1822,Administrative Analyst,18959,19433.8,0,0,19433.8,3616.63,3297.27,1555.41,8469.31,27903.11
Calendar,2015,1,Public Protection,FIR,Fire Department,798,"Firefighters - Miscellaneous, Local 798",H000,Fire Services,H003,EMT/Paramedic/Firefighter,17612,26210.8,260.14,3421.54,29892.48,5962.31,3846.82,476.83,10285.96,40178.44
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,1,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,34937,702.53,0,21.08,723.61,0,304.64,56.02,360.66,1084.27
Calendar,2015,1,Public Protection,CRT,Superior Court,792,"SEIU - Court Employees, Local 1021",SCRT,SF Superior Court,430C,Deputy Court Clerk III,7066,53178.83,0,1568.93,54747.76,11726.05,7483.02,4576.3,23785.37,78533.13
Calendar,2015,1,Public Protection,POL,Police,790,"SEIU - Miscellaneous, Local 1021",9200,Airport Operation,9209,Community Police Services Aide,11680,67454.47,0,5670.07,73124.54,15067.55,12340.45,5336,32744,105868.54
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",2400,"Lab, Pharmacy & Med Techs",2454,Clinical Pharmacist,41640,98568.61,0,0,98568.61,12100.68,8506.01,7634.01,28240.7,126809.31
Calendar,2015,4,Community Health,DPH,Public Health,251,"Transport Workers - Miscellaneous, Local 250-A",6100,Health & Sanitation Inspection,6124,Pr Environmental Hlth Insp,10510,124094.69,0,0,124094.69,24970.25,12400.67,9844.76,47215.68,171310.37
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,49316,5813.84,0,702.89,6516.73,2233.9,452.48,1080.59,3766.97,10283.7
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9102,Transit Car Cleaner,48930,62811.01,0,11790.12,74601.13,14988.58,12424.5,6141.68,33554.76,108155.89
Calendar,2015,1,Public Protection,SHF,Sheriff,499,Sheriff's Managers and Supervisors Association,8300,Correction & Detention,8310,Sheriff's Lieutenant,49035,136466,9128.36,26789.56,172383.92,38692.37,12424.5,2692.23,53809.1,226193.02
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,535,"SEIU - Human Services, Local 1021",2900,Human Services,2910,Social Worker,48991,6534,0,0,6534,1465.59,1433.6,542.4,3441.59,9975.59
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,254,"Transport Workers - Fare Inspectors, Local 250-A",9100,Street Transit,9132,Transit Fare Inspector,26073,59516.3,10875.91,6449.21,76841.42,14191.06,12424.5,5991.49,32607.05,109448.47
Calendar,2015,5,Culture & Recreation,FAM,Fine Arts Museum,790,"SEIU - Miscellaneous, Local 1021",1600,"Payroll, Billing & Accounting",1222,Sr Payroll & Personnel Clerk,8013,75927.05,181.38,851.41,76959.84,15648.74,12424.5,6068.66,34141.9,111101.74
Calendar,2015,1,Public Protection,POL,Police,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1406,Senior Clerk,33043,56120.07,0,0,56120.07,12556.81,12424.51,4653.78,29635.1,85755.17
Calendar,2015,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5300,Sub-Professional Engineering,5381,Stdntdsgn Train2/Arch/Eng/Plng,10800,7784.96,0,0,7784.96,0,1726.28,602.7,2328.98,10113.94
Calendar,2015,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5600,Energy & Environment,5601,Utility Analyst,38906,88326.01,1457.08,0,89783.09,18204.27,12424.5,7766.52,38395.29,128178.38
Calendar,2015,6,General Administration & Finance,REG,Elections,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1402,Junior Clerk,15961,181.69,211.97,0,393.66,0,53.76,30.55,84.31,477.97
Calendar,2015,1,Public Protection,CRT,Superior Court,792,"SEIU - Court Employees, Local 1021",SCRT,SF Superior Court,420C,Deputy Court Clerk II,36507,74394.13,0,6054.86,80448.99,15677.14,12421.52,6670.11,34768.77,115217.76
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q051,Sergeant 2,38566,136520.6,16098.51,4919.06,157538.17,26985.97,12424.5,2677.56,42088.03,199626.2
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",2100,Hospital Administration,2112,Medical Records Technician,42404,62559.36,94.46,572.1,63225.92,13204.65,10793.79,5214.44,29212.88,92438.8
Calendar,2015,5,Culture & Recreation,LIB,Public Library,22,"Prof & Tech Engineers - Personnel, Local 21",1200,Personnel,1244,Senior Personnel Analyst,20944,5908.77,0,0,5908.77,0,692.9,457.64,1150.54,7059.31
Calendar,2015,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1478,Senior Water Services Clerk,41341,69902.02,1776.91,637.5,72316.43,14538.87,12424.5,5988.69,32952.06,105268.49
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,254,"Transport Workers - Fare Inspectors, Local 250-A",9100,Street Transit,9132,Transit Fare Inspector,40714,49456.6,9227.46,4710.72,63394.78,11546.24,9776.41,5079.71,26402.36,89797.14
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,164,Physicians and Dentists - Miscellaneous,2200,Medical & Dental,2230,Physician Specialist,51925,158641.04,0,0,158641.04,31939.24,9903.76,10387.92,52230.92,210871.96
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9910,Public Service Trainee,20240,13626.58,0,0,13626.58,0,3524.25,1118.49,4642.74,18269.32
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,9793,2982.65,0,0,2982.65,0,262.83,231.5,494.33,3476.98
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,9711,45069.25,3513.19,824.91,49407.35,12451.29,8847.38,3906.41,25205.08,74612.43
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,130,"Automotive Machinists, Local 1414",7200,Supervisory-Labor & Trade,7258,Maintenance Machinist Sprv 1,22144,94966.43,14526.55,21894.26,131387.24,19941.62,10981.4,9883.73,40806.75,172193.99
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,254,"Transport Workers - Fare Inspectors, Local 250-A",9100,Street Transit,9132,Transit Fare Inspector,22897,0,0,250,250,0,68.5,160.46,228.96,478.96
Calendar,2015,1,Public Protection,SHF,Sheriff,498,Deputy Sheriffs' Association,8300,Correction & Detention,8306,Senior Deputy Sheriff,27584,57804.89,431.25,5628.74,63864.88,15848.58,6568.5,1092.72,23509.8,87374.68
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,261,"Laborers, Local 261",3400,Agriculture & Horticulture,3417,Gardener,47827,53237.92,1945.02,661.77,55844.71,11312.22,10038.64,4651.53,26002.39,81847.1
Calendar,2015,5,Culture & Recreation,FAM,Fine Arts Museum,790,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9910,Public Service Trainee,4982,6699,0,136.5,6835.5,251.93,2858.24,548.16,3658.33,10493.83
Calendar,2015,1,Public Protection,POL,Police,790,"SEIU - Miscellaneous, Local 1021",9200,Airport Operation,9209,Community Police Services Aide,7963,57662.25,0,4496.37,62158.62,13879.69,12424.5,5039.55,31343.74,93502.36
Calendar,2015,2,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9920,Publ Svc Aide-Asst To Prof,35776,7319.28,27.08,0,7346.36,0,2422.18,568.75,2990.93,10337.29
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q003,Police Officer 2,7989,4484,175.16,1961.76,6620.92,969.03,477.86,112.55,1559.44,8180.36
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,15576,61771.87,13891.2,1734.13,77397.2,17314.63,12165.14,6038.74,35518.51,112915.71
Calendar,2015,6,General Administration & Finance,HSS,Health Service System,790,"SEIU - Miscellaneous, Local 1021",1200,Personnel,1210,Benefits Analyst,49717,71459.9,0,0,71459.9,14718.39,12424.5,5326.36,32469.25,103929.15
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3279,Recreation Leader,4655,92.44,0,0,92.44,0,29.87,7.32,37.19,129.63
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",2900,Human Services,2920,Medical Social Worker,46590,93281.01,0,0,93281.01,19225.76,12424.5,7124.49,38774.75,132055.76
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q002,Police Officer,25175,82202.12,5494.65,5955.27,93652.04,17124.6,12424.5,1559.67,31108.77,124760.81
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,1,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,33262,9711.38,0,0,9711.38,0,4211.19,782.5,4993.69,14705.07
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,200,"Transportation Workers, Local 200",9100,Street Transit,9139,Transit Supervisor,29384,92361,15194.35,15374.4,122929.75,20917.77,12472.29,9794.7,43184.76,166114.51
Calendar,2015,6,General Administration & Finance,CAT,City Attorney,351,Municipal Executive Association - Miscellaneous,0900,Management,0931,Manager III,12906,133301.8,0,0,133301.8,26758.46,12424.5,17283.8,56466.76,189768.56
Calendar,2015,1,Public Protection,POL,Police,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1424,Clerk Typist,43717,57190.23,893.89,624,58708.12,12967.4,12424.5,4862.75,30254.65,88962.77
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,261,"Laborers, Local 261",7500,Semi-Skilled & General Labor,7514,General Laborer,28186,63887,47.27,0,63934.27,13167.4,12424.5,5063.05,30654.95,94589.22
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2300,Nursing,2310,Surgical Procedures Technician,11037,64946.42,3236.14,1596.85,69779.41,13585.87,10710.16,5623.15,29919.18,99698.59
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3208,Pool Lifeguard,4347,16273.94,0,290.2,16564.14,0,5396.89,1283.86,6680.75,23244.89
Calendar,2015,4,Community Health,DPH,Public Health,351,Municipal Executive Association - Miscellaneous,0900,Management,0923,Manager II,40597,127129.05,0,0,127129.05,25584.73,12293.09,18284.58,56162.4,183291.45
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2400,"Lab, Pharmacy & Med Techs",2409,Pharmacy Technician,38866,82717,0,0,82717,17048.47,12424.5,6325.13,35798.1,118515.1
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,8815,65297.36,19110.43,737.36,85145.15,18051.68,12862.3,6643.5,37557.48,122702.63
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2300,Nursing,2303,Patient Care Assistant,13511,70245,29847.03,11934.77,112026.8,15865.46,12424.5,9066.55,37356.51,149383.31
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",1200,Personnel,1202,Personnel Clerk,30061,36926.34,0,0,36926.34,8752.56,8756.28,3070.49,20579.33,57505.67
Calendar,2015,1,Public Protection,SHF,Sheriff,498,Deputy Sheriffs' Association,8300,Correction & Detention,8304,Deputy Sheriff,12327,96855.7,39493.9,8678.95,145028.55,25666.48,12309.04,2496.17,40471.69,185500.24
Calendar,2015,2,"Public Works, Transportation & Commerce",CWP,PUC Wastewater Enterprise,39,"Stationary Engineers, Local 39",7200,Supervisory-Labor & Trade,7262,Maintenance Planner,46857,112209.06,120.63,0,112329.69,22870.16,12424.5,8978.9,44273.56,156603.25
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,253,"Transport Workers - Transit Operators, Local 250-A",9100,Street Transit,9163,Transit Operator,24071,68974.92,26957.56,8720.35,104652.83,21312.67,13592.71,7978.23,42883.61,147536.44
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2800,Public Health,2830,Public Health Nurse,40959,71903.02,0,6840.8,78743.82,17276.39,6212.25,6392.04,29880.68,108624.5
Calendar,2015,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1450,Executive Secretary 1,15967,67704.76,0,540.51,68245.27,13946.79,11335.57,5684.12,30966.48,99211.75
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,21,"Prof & Tech Engineers - Miscellaneous, Local 21",1900,Purchasing & Storekeeping,1950,Assistant Purchaser,21856,0,0,1677.93,1677.93,0,0,128.36,128.36,1806.29
Calendar,2015,4,Community Health,DPH,Public Health,790,"SEIU - Miscellaneous, Local 1021",1400,"Clerical, Secretarial & Steno",1406,Senior Clerk,22984,47594.2,0,0,47594.2,11400.29,12424.5,3868.43,27693.22,75287.42
Calendar,2015,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,3,"Operating Engineers - Miscellaneous, Local 3",7300,Journeyman Trade,7328,"Operating Engineer, Universal",39422,29444,12769.46,662.49,42875.95,5602.82,3822.92,2799.02,12224.76,55100.71
Calendar,2015,4,Community Health,DPH,Public Health,22,"Prof & Tech Engineers - Personnel, Local 21",1200,Personnel,1233,EEO Programs Specialist,9795,18073,0,9045.45,27118.45,4053.76,2532.69,2174.58,8761.03,35879.48
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q003,Police Officer 2,41186,117140.97,1695.51,8851.06,127687.54,23164.17,12424.5,2173.66,37762.33,165449.87
Calendar,2015,6,General Administration & Finance,ADM,General Services Agency - City Admin,130,"Automotive Machinists, Local 1414",7300,Journeyman Trade,7313,Automotive Machinist,50076,82883.01,3728.52,4804.5,91416.03,18023.79,12424.5,7368.68,37816.97,129233
Calendar,2015,4,Community Health,DPH,Public Health,39,"Stationary Engineers, Local 39",7300,Journeyman Trade,7334,Stationary Engineer,33195,85004.17,28373.25,5134.36,118511.78,17652.34,12424.5,9439.66,39516.5,158028.28
Calendar,2015,2,"Public Works, Transportation & Commerce",PRT,Port,351,Municipal Executive Association - Miscellaneous,0900,Management,0923,Manager II,16116,127129.1,0,0,127129.1,25584.76,12424.5,22810.31,60819.57,187948.67
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q002,Police Officer,50286,34566.3,0,0,34566.3,6939.88,5304.3,2548.27,14792.45,49358.75
Calendar,2015,4,Community Health,DPH,Public Health,164,Physicians and Dentists - Miscellaneous,2200,Medical & Dental,2232,Senior Physician Specialist,37398,213648.56,0,10575,224223.56,42975.82,12388.66,11507.2,66871.68,291095.24
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,535,"SEIU - Human Services, Local 1021",2900,Human Services,2940,Protective Services Worker,45422,97618.02,0,0,97618.02,20136.14,12338.72,7841.49,40316.35,137934.37
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5207,Assoc Engineer,25256,118130.23,0,0,118130.23,23750.76,12424.53,9407.93,45583.22,163713.45
Calendar,2015,1,Public Protection,POL,Police,911,Police Officers' Association,Q000,Police Services,Q002,Police Officer,18872,112685.47,36542.53,25030.05,174258.05,22330.91,12424.5,2907.97,37663.38,211921.43
Calendar,2015,5,Culture & Recreation,REC,Recreation and Park Commission,790,"SEIU - Miscellaneous, Local 1021",3200,Recreation,3279,Recreation Leader,22351,1790.65,0,8.6,1799.25,0,448,139.3,587.3,2386.55
Calendar,2015,2,"Public Works, Transportation & Commerce",MTA,Municipal Transportation Agency,790,"SEIU - Miscellaneous, Local 1021",9100,Street Transit,9102,Transit Car Cleaner,2787,36400,6835.22,7372.06,50607.28,7931.66,7167.97,4047.3,19146.93,69754.21
Calendar,2015,4,Community Health,DPH,Public Health,250,"SEIU - Health Workers, Local 1021",2300,Nursing,2303,Patient Care Assistant,28579,62269.89,570.56,4159.93,67000.38,13141.24,11014.8,5522.56,29678.6,96678.98
Calendar,2015,2,"Public Works, Transportation & Commerce",WTR,PUC Water Department,39,"Stationary Engineers, Local 39",7300,Journeyman Trade,7341,Statnry Eng Water Treat Plant,38753,8240.44,0,0,8240.44,1848.33,1099.03,872.55,3819.91,12060.35
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,10210,33646.63,0,0,33646.63,-0.04,0,1374.03,1373.99,35020.62
Calendar,2015,2,"Public Works, Transportation & Commerce",PUC,PUC Public Utilities Commission,790,"SEIU - Miscellaneous, Local 1021",9900,Public Service Aide,9920,Publ Svc Aide-Asst To Prof,18486,4956.55,0,0,4956.55,0,1640.28,383.73,2024.01,6980.56
Calendar,2015,2,"Public Works, Transportation & Commerce",DPW,General Services Agency - Public Works,21,"Prof & Tech Engineers - Miscellaneous, Local 21",5200,Professional Engineering,5265,Architectural Associate 1,10990,96588.01,0,0,96588.01,19986.76,11946.62,7367.11,39300.49,135888.5
Calendar,2015,4,Community Health,DPH,Public Health,791,"SEIU - Staff and Per Diem Nurses, Local 1021",2300,Nursing,P103,Special Nurse,38775,25785,165.48,6231.44,32181.92,4056.6,0,6190.41,10247.01,42428.93
Calendar,2015,3,Human Welfare & Neighborhood Development,DSS,Human Services,1,Miscellaneous Unrepresented Employees,9900,Public Service Aide,9916,Public Svc Aide-Public Works,39750,1184.65,0,31.61,1216.26,0,513.71,94.2,607.91,1824.17
